Cod_Categoria,Categoria,Squad
9758,CONSIGNADO AFECT,5G
9760,CONSIGNADO AFECT,ABSTEMIOS IMPULSIVOS
11302,INTERIOR NIN,ROPA INTERIOR
9762,CONSIGNADO AFECT,5G
9763,CONSIGNADO EXENT,5G
11303,INTERIOR NIN,ROPA INTERIOR
11304,TODO ,ARTE Y CELEBRACION
11306,CALCETINES HOMBR,ROPA INTERIOR
11307,CALCETINES NIN,ROPA INTERIOR
9788,CONSIGNADO AFECT,ARTE Y CELEBRACION
9809,COM PREPARADA,PLATOS PREPARADOS
11873,VESTIDO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11874,OUTWEA,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11875,TO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11876,BOTTO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11877,POLERONES Y SWEATER,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
11878,ACCESORIOS DE VESTI,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
9901,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9902,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9903,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9904,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9905,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9906,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9907,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9908,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9909,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9910,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9911,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9912,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9913,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9914,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9915,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9916,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9917,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9918,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9919,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9920,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9921,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9922,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9923,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9924,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9925,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9926,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9927,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9928,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9929,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9930,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9931,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9932,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9933,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9934,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9935,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9940,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9946,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9949,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9953,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9956,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9958,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9959,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9966,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9973,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9974,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9977,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9979,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9980,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9981,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9982,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9983,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9984,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9987,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9990,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9991,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9992,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9993,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9994,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9995,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9996,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9997,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
9998,ALLOWANCE NO DISTRIBUID,ALLOWANCE/CVP 
12058,OTRO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
12116,MOVILIDAD URBAN,DEPORTE JUGUETES
12122,OTRO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
12123,OTRO,MUNDO INFANTIL / VESTUARIO MUNDO BEBÉ
12276,BAN,MAESTROS DEL HOGAR
